drive 1 done: mean burn 14.6, finalC 0.0116, counters {'drive_attempts': 2400, 'drive_placed': 2400, 'shed': 11684, 'dissipated_coin': 1191, 'reland_fail': 0}
drive 3 done: mean burn 14.1, finalC 0.0109, counters {'drive_attempts': 2400, 'drive_placed': 2400, 'shed': 11288, 'dissipated_coin': 1152, 'reland_fail': 0}
drive 0 done: mean burn 15.0, finalC 0.0109, counters {'drive_attempts': 2400, 'drive_placed': 2400, 'shed': 11967, 'dissipated_coin': 1202, 'reland_fail': 0}
drive 2 done: mean burn 15.5, finalC 0.011, counters {'drive_attempts': 2400, 'drive_placed': 2400, 'shed': 12384, 'dissipated_coin': 1211, 'reland_fail': 0}
drive 5 done: mean burn 15.6, finalC 0.0116, counters {'drive_attempts': 2400, 'drive_placed': 2400, 'shed': 12477, 'dissipated_coin': 1206, 'reland_fail': 0}
drive 4 done: mean burn 16.2, finalC 0.0115, counters {'drive_attempts': 2400, 'drive_placed': 2400, 'shed': 12927, 'dissipated_coin': 1225, 'reland_fail': 0}
drive 6 done: mean burn 15.3, finalC 0.0106, counters {'drive_attempts': 2400, 'drive_placed': 2400, 'shed': 12244, 'dissipated_coin': 1237, 'reland_fail': 0}
drive 9 done: mean burn 14.9, finalC 0.0103, counters {'drive_attempts': 2400, 'drive_placed': 2400, 'shed': 11959, 'dissipated_coin': 1237, 'reland_fail': 0}
drive 7 done: mean burn 15.7, finalC 0.0113, counters {'drive_attempts': 2400, 'drive_placed': 2400, 'shed': 12529, 'dissipated_coin': 1244, 'reland_fail': 0}
drive 8 done: mean burn 15.9, finalC 0.0107, counters {'drive_attempts': 2400, 'drive_placed': 2400, 'shed': 12734, 'dissipated_coin': 1260, 'reland_fail': 0}
settle 1 done: mean burn 0.5, finalC 0.9736, counters {'drive_attempts': 0, 'drive_placed': 0, 'shed': 402, 'dissipated_coin': 43, 'reland_fail': 0}
settle 0 done: mean burn 0.5, finalC 0.9285, counters {'drive_attempts': 0, 'drive_placed': 0, 'shed': 367, 'dissipated_coin': 38, 'reland_fail': 0}
settle 3 done: mean burn 0.5, finalC 0.9532, counters {'drive_attempts': 0, 'drive_placed': 0, 'shed': 377, 'dissipated_coin': 38, 'reland_fail': 0}
settle 4 done: mean burn 0.5, finalC 0.9476, counters {'drive_attempts': 0, 'drive_placed': 0, 'shed': 382, 'dissipated_coin': 37, 'reland_fail': 0}
settle 5 done: mean burn 0.4, finalC 0.974, counters {'drive_attempts': 0, 'drive_placed': 0, 'shed': 295, 'dissipated_coin': 29, 'reland_fail': 0}
settle 2 done: mean burn 0.7, finalC 0.9662, counters {'drive_attempts': 0, 'drive_placed': 0, 'shed': 579, 'dissipated_coin': 76, 'reland_fail': 0}
neither 0 done: mean burn 0.5, finalC 0.294, counters {'drive_attempts': 0, 'drive_placed': 0, 'shed': 369, 'dissipated_coin': 44, 'reland_fail': 0}
neither 1 done: mean burn 0.2, finalC 0.3304, counters {'drive_attempts': 0, 'drive_placed': 0, 'shed': 194, 'dissipated_coin': 25, 'reland_fail': 0}
settle 6 done: mean burn 0.3, finalC 0.9627, counters {'drive_attempts': 0, 'drive_placed': 0, 'shed': 245, 'dissipated_coin': 26, 'reland_fail': 0}
settle 7 done: mean burn 0.6, finalC 0.9261, counters {'drive_attempts': 0, 'drive_placed': 0, 'shed': 504, 'dissipated_coin': 51, 'reland_fail': 0}
neither 2 done: mean burn 0.5, finalC 0.2965, counters {'drive_attempts': 0, 'drive_placed': 0, 'shed': 370, 'dissipated_coin': 46, 'reland_fail': 0}
neither 3 done: mean burn 0.1, finalC 0.3639, counters {'drive_attempts': 0, 'drive_placed': 0, 'shed': 118, 'dissipated_coin': 11, 'reland_fail': 0}
neither 4 done: mean burn 0.2, finalC 0.3267, counters {'drive_attempts': 0, 'drive_placed': 0, 'shed': 199, 'dissipated_coin': 12, 'reland_fail': 0}
neither 5 done: mean burn 0.4, finalC 0.2966, counters {'drive_attempts': 0, 'drive_placed': 0, 'shed': 297, 'dissipated_coin': 32, 'reland_fail': 0}
settle 8 done: mean burn 0.3, finalC 0.9689, counters {'drive_attempts': 0, 'drive_placed': 0, 'shed': 256, 'dissipated_coin': 38, 'reland_fail': 0}
settle 9 done: mean burn 0.3, finalC 0.9456, counters {'drive_attempts': 0, 'drive_placed': 0, 'shed': 216, 'dissipated_coin': 22, 'reland_fail': 0}
neither 6 done: mean burn 0.5, finalC 0.2829, counters {'drive_attempts': 0, 'drive_placed': 0, 'shed': 394, 'dissipated_coin': 43, 'reland_fail': 0}
neither 7 done: mean burn 0.4, finalC 0.305, counters {'drive_attempts': 0, 'drive_placed': 0, 'shed': 296, 'dissipated_coin': 24, 'reland_fail': 0}
neither 8 done: mean burn 0.4, finalC 0.2938, counters {'drive_attempts': 0, 'drive_placed': 0, 'shed': 335, 'dissipated_coin': 32, 'reland_fail': 0}
neither 9 done: mean burn 0.4, finalC 0.2854, counters {'drive_attempts': 0, 'drive_placed': 0, 'shed': 344, 'dissipated_coin': 34, 'reland_fail': 0}
sink40 1 done: mean burn 5.0, finalC 0.964, counters {'drive_attempts': 9000, 'drive_placed': 9000, 'shed': 14995, 'dissipated_coin': 6028, 'reland_fail': 0}
sink40 3 done: mean burn 5.1, finalC 0.9653, counters {'drive_attempts': 9000, 'drive_placed': 9000, 'shed': 15410, 'dissipated_coin': 6169, 'reland_fail': 0}
sink40 4 done: mean burn 5.4, finalC 0.9646, counters {'drive_attempts': 9000, 'drive_placed': 9000, 'shed': 16140, 'dissipated_coin': 6382, 'reland_fail': 0}
sink40 0 done: mean burn 4.9, finalC 0.9577, counters {'drive_attempts': 9000, 'drive_placed': 9000, 'shed': 14707, 'dissipated_coin': 5965, 'reland_fail': 0}
sink40 2 done: mean burn 4.9, finalC 0.9577, counters {'drive_attempts': 9000, 'drive_placed': 9000, 'shed': 14707, 'dissipated_coin': 5965, 'reland_fail': 0}
