control 3 done, mean burn 42.0, max 29555
control 4 done, mean burn 42.3, max 32403
control 1 done, mean burn 58.2, max 29263
control 0 done, mean burn 43.4, max 31400
control 2 done, mean burn 45.0, max 30878
control 5 done, mean burn 59.6, max 31336
control 6 done, mean burn 57.0, max 27628
control 8 done, mean burn 58.0, max 29938
control 9 done, mean burn 44.3, max 33667
control 7 done, mean burn 43.3, max 30147
capped 1 done, mean burn 42.6, max 1500
capped 0 done, mean burn 56.8, max 1500
capped 2 done, mean burn 57.5, max 1500
capped 4 done, mean burn 57.2, max 1500
capped 3 done, mean burn 59.3, max 1500
capped 6 done, mean burn 41.9, max 1500
capped 5 done, mean burn 58.6, max 1500
capped 7 done, mean burn 50.5, max 1500
capped 8 done, mean burn 44.1, max 1500
capped 9 done, mean burn 43.4, max 1500
