control 2 done, mean burn 23.1, max 13870
control 1 done, mean burn 25.0, max 15883
control 3 done, mean burn 24.5, max 14921
control 0 done, mean burn 26.1, max 15338
control 4 done, mean burn 27.5, max 18089
control 5 done, mean burn 29.0, max 18780
control 6 done, mean burn 22.8, max 14311
control 7 done, mean burn 24.3, max 14065
control 8 done, mean burn 23.7, max 14492
control 9 done, mean burn 23.8, max 14095
capped 0 done, mean burn 25.2, max 1500
capped 1 done, mean burn 26.2, max 1500
capped 4 done, mean burn 23.9, max 1500
capped 2 done, mean burn 26.7, max 1500
capped 5 done, mean burn 23.8, max 1500
capped 3 done, mean burn 26.1, max 1500
capped 6 done, mean burn 25.7, max 1500
capped 7 done, mean burn 25.4, max 1500
capped 8 done, mean burn 23.7, max 1500
capped 9 done, mean burn 27.5, max 1500
